id,date_collected,survey,site,plot,plot_number,soil_depth_cm,beaker_weight_g,combined_wet_weight_g,combined_dry_weight_g,rehydrated_water_volume_mL,supernatent_salinity_ppt
1_1_1,"June 29, 2025",1,1,1,1,10,114.6,139.7,130.7,25.1,0.38
1_1_2,"June 29, 2025",1,1,2,2,10,115.1,140.2,136.2,25,0.18
1_1_3,"June 29, 2025",1,1,3,3,10,114.8,139.8,136.2,25,0.15
1_2_1,"June 29, 2025",1,2,1,4,10,114.9,139.8,139,25.1,0.05
1_2_2,"June 29, 2025",1,2,2,5,10,114.3,139.2,137.2,25,0.08
1_2_3,"June 29, 2025",1,2,3,6,10,114.4,139.3,138,25.1,0.08
1_3_1,"June 29, 2025",1,3,1,7,10,115.2,140.3,137.7,24.9,0.14
1_3_2,"June 29, 2025",1,3,2,8,10,115.1,140.2,139.8,25,0.05
1_3_3,"June 29, 2025",1,3,3,9,10,115,140,139.2,25.1,0.06
1_4_1,"June 29, 2025",1,4,1,10,10,114.2,139.3,126.8,25.1,0.6
1_4_2,"June 29, 2025",1,4,2,11,10,115.2,140.2,126.6,25,0.52
1_4_3,"June 29, 2025",1,4,3,12,10,114.1,139.1,135.5,25,0.31
1_5_1,"June 29, 2025",1,5,1,13,10,114.6,136.3,129.6,25.1,0.55
1_5_2,"June 29, 2025",1,5,2,14,10,115,140.1,134,25.1,0.29
1_5_3,"June 29, 2025",1,5,3,15,10,114.6,134.4,128.6,25,0.41
1_6_1,"June 29, 2025",1,6,1,16,10,114.7,139.6,136.6,25,0.14
1_6_2,"June 29, 2025",1,6,2,17,10,114.5,139.4,138.4,25,0.12
1_6_3,"June 29, 2025",1,6,3,18,10,115.1,140.1,137.9,25,0.15
2_1_1,"July 5, 2025",2,1,1,1,10,125.5,150.6,148.2,25.1,0.41
2_1_2,"July 5, 2025",2,1,2,2,10,125.5,150.6,144.2,25.1,0.37
2_1_3,"July 5, 2025",2,1,3,3,10,124.9,149.9,146.3,25,0.17
2_2_1,"July 5, 2025",2,2,1,4,10,125.1,150.1,149,25.1,0.13
2_2_2,"July 5, 2025",2,2,2,5,10,125.5,150.5,149.1,25,0.15
2_2_3,"July 5, 2025",2,2,3,6,10,125,150,148.9,25,0.09
2_3_1,"July 5, 2025",2,3,1,7,10,124.9,149.9,148.7,25.1,0.23
2_3_2,"July 5, 2025",2,3,2,8,10,124.4,149.4,148.5,25.1,0.08
2_3_3,"July 5, 2025",2,3,3,9,10,125.5,150.5,149.3,25,0.13
2_4_1,"July 5, 2025",2,4,1,10,10,124.8,143.6,132.4,25,1.07
